ÁGUA CLARA,5000203,URUBUPUNGA,SBUP,83617,186.6
ÁGUA CLARA,5000203,CAMPO GRANDE (AEROPORTO),SBCG,83612,191.21
ÁGUA CLARA,5000203,ARACATUBA,SBAU,83672,306.14
ALCINÓPOLIS,5000252,CAMPO GRANDE (AEROPORTO),SBCG,83612,269.32
ALCINÓPOLIS,5000252,BARRA DO GARCAS,SBBW,83359,298.58
ALCINÓPOLIS,5000252,URUBUPUNGA,SBUP,83617,367.63
AMAMBAI,5000609,PONTA PORA (AEROPORTO),SBPP,83703,100.98
AMAMBAI,5000609,TOLEDO,SBTD,-,212.72
AMAMBAI,5000609,CASCAVEL-PR,SBCA,-,253.29
ANASTÁCIO,5000708,CAMPO GRANDE (AEROPORTO),SBCG,83612,116.69
ANASTÁCIO,5000708,PONTA PORA (AEROPORTO),SBPP,83703,204.84
ANASTÁCIO,5000708,CORUMBA,SBCR,83552,275.56
ANAURILÂNDIA,5000807,PRESIDENTE PRUDENTE,SBDN,83716,142.09
ANAURILÂNDIA,5000807,MARINGA,SBMG,83767,172.21
ANAURILÂNDIA,5000807,URUBUPUNGA,SBUP,83617,194.14
ANGÉLICA,5000856,CAMPO GRANDE (AEROPORTO),SBCG,83612,195.76
ANGÉLICA,5000856,PONTA PORA (AEROPORTO),SBPP,83703,196.35
ANGÉLICA,5000856,MARINGA,SBMG,83767,246.23
ANTÔNIO JOÃO,5000906,PONTA PORA (AEROPORTO),SBPP,83703,46.94
ANTÔNIO JOÃO,5000906,CAMPO GRANDE (AEROPORTO),SBCG,83612,235.72
ANTÔNIO JOÃO,5000906,TOLEDO,SBTD,-,359.27
APARECIDA DO TABOADO,5001003,URUBUPUNGA,SBUP,83617,85.59
APARECIDA DO TABOADO,5001003,ARACATUBA,SBAU,83672,147.5
APARECIDA DO TABOADO,5001003,SAO JOSE DO RIO PRET,SBSR,-,212.8
AQUIDAUANA,5001102,CAMPO GRANDE (AEROPORTO),SBCG,83612,147.8
AQUIDAUANA,5001102,CORUMBA,SBCR,83552,207.27
AQUIDAUANA,5001102,PONTA PORA (AEROPORTO),SBPP,83703,311.24
ARAL MOREIRA,5001243,PONTA PORA (AEROPORTO),SBPP,83703,47.27
ARAL MOREIRA,5001243,TOLEDO,SBTD,-,265.64
ARAL MOREIRA,5001243,CAMPO GRANDE (AEROPORTO),SBCG,83612,282.79
BANDEIRANTES,5001508,CAMPO GRANDE (AEROPORTO),SBCG,83612,84.16
BANDEIRANTES,5001508,URUBUPUNGA,SBUP,83617,304.05
BANDEIRANTES,5001508,PONTA PORA (AEROPORTO),SBPP,83703,338.65
BATAGUASSU,5001904,PRESIDENTE PRUDENTE,SBDN,83716,124.63
BATAGUASSU,5001904,URUBUPUNGA,SBUP,83617,152.73
BATAGUASSU,5001904,MARINGA,SBMG,83767,194.23
BATAYPORÃ,5002001,MARINGA,SBMG,83767,169.49
BATAYPORÃ,5002001,PRESIDENTE PRUDENTE,SBDN,83716,181.31
BATAYPORÃ,5002001,LONDRINA,SBXO,83766,232.33
BELA VISTA,5002100,PONTA PORA (AEROPORTO),SBPP,83703,109.85
BELA VISTA,5002100,CAMPO GRANDE (AEROPORTO),SBCG,83612,253.09
BELA VISTA,5002100,CORUMBA,SBCR,83552,347.23
BODOQUENA,5002159,CORUMBA,SBCR,83552,200.72
BODOQUENA,5002159,CAMPO GRANDE (AEROPORTO),SBCG,83612,210.83
BODOQUENA,5002159,PONTA PORA (AEROPORTO),SBPP,83703,244.61
BONITO,5002209,PONTA PORA (AEROPORTO),SBPP,83703,188.61
BONITO,5002209,CAMPO GRANDE (AEROPORTO),SBCG,83612,195.52
BONITO,5002209,CORUMBA,SBCR,83552,256.54
BRASILÂNDIA,5002308,URUBUPUNGA,SBUP,83617,94.92
BRASILÂNDIA,5002308,PRESIDENTE PRUDENTE,SBDN,83716,160.86
BRASILÂNDIA,5002308,ARACATUBA,SBAU,83672,208.09
CAARAPÓ,5002407,PONTA PORA (AEROPORTO),SBPP,83703,92.2
CAARAPÓ,5002407,CAMPO GRANDE (AEROPORTO),SBCG,83612,235.85
CAARAPÓ,5002407,TOLEDO,SBTD,-,258.38
CAMAPUÃ,5002605,CAMPO GRANDE (AEROPORTO),SBCG,83612,150.88
CAMAPUÃ,5002605,URUBUPUNGA,SBUP,83617,289.81
CAMAPUÃ,5002605,CORUMBA,SBCR,83552,400.96
CAMPO GRANDE,5002704,CAMPO GRANDE (AEROPORTO),SBCG,83612,65.74
CAMPO GRANDE,5002704,PONTA PORA (AEROPORTO),SBPP,83703,235.7
CAMPO GRANDE,5002704,URUBUPUNGA,SBUP,83617,278.85
CARACOL,5002803,PONTA PORA (AEROPORTO),SBPP,83703,158.21
CARACOL,5002803,CAMPO GRANDE (AEROPORTO),SBCG,83612,299.38
CARACOL,5002803,CORUMBA,SBCR,83552,332.54
CASSILÂNDIA,5002902,URUBUPUNGA,SBUP,83617,200.45
CASSILÂNDIA,5002902,ARACATUBA,SBAU,83672,291.4
CASSILÂNDIA,5002902,CAMPO GRANDE (AEROPORTO),SBCG,83612,301.7
CHAPADÃO DO SUL,5002951,URUBUPUNGA,SBUP,83617,235.6
CHAPADÃO DO SUL,5002951,CAMPO GRANDE (AEROPORTO),SBCG,83612,261.38
CHAPADÃO DO SUL,5002951,ARACATUBA,SBAU,83672,338.73
CORGUINHO,5003108,CAMPO GRANDE (AEROPORTO),SBCG,83612,83.89
CORGUINHO,5003108,CORUMBA,SBCR,83552,288.76
CORGUINHO,5003108,PONTA PORA (AEROPORTO),SBPP,83703,312.33
CORONEL SAPUCAIA,5003157,PONTA PORA (AEROPORTO),SBPP,83703,94.45
CORONEL SAPUCAIA,5003157,TOLEDO,SBTD,-,226.21
CORONEL SAPUCAIA,5003157,CASCAVEL-PR,SBCA,-,265.03
CORUMBÁ,5003207,CORUMBA,SBCR,83552,104.52
CORUMBÁ,5003207,CAMPO GRANDE (AEROPORTO),SBCG,83612,289.09
CORUMBÁ,5003207,CUIABA (AEROPORTO),SBCY,83362,348.16
COSTA RICA,5003256,CAMPO GRANDE (AEROPORTO),SBCG,83612,255.47
COSTA RICA,5003256,URUBUPUNGA,SBUP,83617,294.53
COSTA RICA,5003256,BARRA DO GARCAS,SBBW,83359,320.18
COXIM,5003306,CAMPO GRANDE (AEROPORTO),SBCG,83612,243.51
COXIM,5003306,CORUMBA,SBCR,83552,325.52
COXIM,5003306,CUIABA (AEROPORTO),SBCY,83362,330.35
DEODÁPOLIS,5003454,PONTA PORA (AEROPORTO),SBPP,83703,166.52
DEODÁPOLIS,5003454,CAMPO GRANDE (AEROPORTO),SBCG,83612,193.38
DEODÁPOLIS,5003454,MARINGA,SBMG,83767,263.84
DOIS IRMÃOS DO BURITI,5003488,CAMPO GRANDE (AEROPORTO),SBCG,83612,74.2
DOIS IRMÃOS DO BURITI,5003488,PONTA PORA (AEROPORTO),SBPP,83703,217.98
DOIS IRMÃOS DO BURITI,5003488,CORUMBA,SBCR,83552,300.55
DOURADINA,5003504,PONTA PORA (AEROPORTO),SBPP,83703,126.08
DOURADINA,5003504,CAMPO GRANDE (AEROPORTO),SBCG,83612,181.56
DOURADINA,5003504,TOLEDO,SBTD,-,300.41
DOURADOS,5003702,PONTA PORA (AEROPORTO),SBPP,83703,99.69
DOURADOS,5003702,CAMPO GRANDE (AEROPORTO),SBCG,83612,187.52
DOURADOS,5003702,TOLEDO,SBTD,-,304.18
ELDORADO,5003751,TOLEDO,SBTD,-,117.53
ELDORADO,5003751,CASCAVEL-PR,SBCA,-,158.4
ELDORADO,5003751,PONTA PORA (AEROPORTO),SBPP,83703,200.46
FÁTIMA DO SUL,5003801,PONTA PORA (AEROPORTO),SBPP,83703,132.72
FÁTIMA DO SUL,5003801,CAMPO GRANDE (AEROPORTO),SBCG,83612,208.37
FÁTIMA DO SUL,5003801,TOLEDO,SBTD,-,271.65
FIGUEIRÃO,5003900,CAMPO GRANDE (AEROPORTO),SBCG,83612,209.71
FIGUEIRÃO,5003900,URUBUPUNGA,SBUP,83617,331.39
FIGUEIRÃO,5003900,BARRA DO GARCAS,SBBW,83359,356.71
GLÓRIA DE DOURADOS,5004007,PONTA PORA (AEROPORTO),SBPP,83703,155.33
GLÓRIA DE DOURADOS,5004007,CAMPO GRANDE (AEROPORTO),SBCG,83612,223.13
GLÓRIA DE DOURADOS,5004007,MARINGA,SBMG,83767,251.5
GUIA LOPES DA LAGUNA,5004106,PONTA PORA (AEROPORTO),SBPP,83703,112.89
GUIA LOPES DA LAGUNA,5004106,CAMPO GRANDE (AEROPORTO),SBCG,83612,180.77
GUIA LOPES DA LAGUNA,5004106,CORUMBA,SBCR,83552,336.3
IGUATEMI,5004304,PONTA PORA (AEROPORTO),SBPP,83703,154.29
IGUATEMI,5004304,TOLEDO,SBTD,-,162.59
IGUATEMI,5004304,CASCAVEL-PR,SBCA,-,203.47
INOCÊNCIA,5004403,URUBUPUNGA,SBUP,83617,135.54
INOCÊNCIA,5004403,ARACATUBA,SBAU,83672,233.14
INOCÊNCIA,5004403,PRESIDENTE PRUDENTE,SBDN,83716,287.18
ITAPORÃ,5004502,PONTA PORA (AEROPORTO),SBPP,83703,103.7
ITAPORÃ,5004502,CAMPO GRANDE (AEROPORTO),SBCG,83612,173.79
ITAPORÃ,5004502,TOLEDO,SBTD,-,318.76
ITAQUIRAÍ,5004601,TOLEDO,SBTD,-,154.81
ITAQUIRAÍ,5004601,PONTA PORA (AEROPORTO),SBPP,83703,184.24
ITAQUIRAÍ,5004601,CASCAVEL-PR,SBCA,-,194.83
IVINHEMA,5004700,PONTA PORA (AEROPORTO),SBPP,83703,196.35
IVINHEMA,5004700,MARINGA,SBMG,83767,219.99
IVINHEMA,5004700,CAMPO GRANDE (AEROPORTO),SBCG,83612,229.82
JAPORÃ,5004809,TOLEDO,SBTD,-,128.76
JAPORÃ,5004809,CASCAVEL-PR,SBCA,-,169
JAPORÃ,5004809,PONTA PORA (AEROPORTO),SBPP,83703,183.66
JARAGUARI,5004908,CAMPO GRANDE (AEROPORTO),SBCG,83612,43.06
JARAGUARI,5004908,PONTA PORA (AEROPORTO),SBPP,83703,293.75
JARAGUARI,5004908,URUBUPUNGA,SBUP,83617,296.23
JARDIM,5005004,PONTA PORA (AEROPORTO),SBPP,83703,129.37
JARDIM,5005004,CAMPO GRANDE (AEROPORTO),SBCG,83612,215.06
JARDIM,5005004,CORUMBA,SBCR,83552,315.97
JATEÍ,5005103,PONTA PORA (AEROPORTO),SBPP,83703,179.66
JATEÍ,5005103,MARINGA,SBMG,83767,216.05
JATEÍ,5005103,TOLEDO,SBTD,-,221
JUTI,5005152,PONTA PORA (AEROPORTO),SBPP,83703,126.71
JUTI,5005152,TOLEDO,SBTD,-,226.57
JUTI,5005152,CAMPO GRANDE (AEROPORTO),SBCG,83612,256.96
LADÁRIO,5005202,CORUMBA,SBCR,83552,15.29
LADÁRIO,5005202,CAMPO GRANDE (AEROPORTO),SBCG,83612,339.55
LADÁRIO,5005202,CUIABA (AEROPORTO),SBCY,83362,413.39
LAGUNA CARAPÃ,5005251,PONTA PORA (AEROPORTO),SBPP,83703,59.97
LAGUNA CARAPÃ,5005251,CAMPO GRANDE (AEROPORTO),SBCG,83612,249.99
LAGUNA CARAPÃ,5005251,TOLEDO,SBTD,-,266.24
MARACAJU,5005400,PONTA PORA (AEROPORTO),SBPP,83703,115.83
MARACAJU,5005400,CAMPO GRANDE (AEROPORTO),SBCG,83612,141.57
MARACAJU,5005400,CORUMBA,SBCR,83552,369.24
MIRANDA,5005608,CORUMBA,SBCR,83552,167.69
MIRANDA,5005608,CAMPO GRANDE (AEROPORTO),SBCG,83612,204.84
MIRANDA,5005608,PONTA PORA (AEROPORTO),SBPP,83703,285.76
MUNDO NOVO,5005681,TOLEDO,SBTD,-,100.56
MUNDO NOVO,5005681,CASCAVEL-PR,SBCA,-,141.31
MUNDO NOVO,5005681,FOZ DO IGUACU (AEROPORTO),SBFI,83827,185.46
NAVIRAÍ,5005707,PONTA PORA (AEROPORTO),SBPP,83703,179.5
NAVIRAÍ,5005707,TOLEDO,SBTD,-,187.3
NAVIRAÍ,5005707,MARINGA,SBMG,83767,211.13
NIOAQUE,5005806,CAMPO GRANDE (AEROPORTO),SBCG,83612,145.83
NIOAQUE,5005806,PONTA PORA (AEROPORTO),SBPP,83703,162.44
NIOAQUE,5005806,CORUMBA,SBCR,83552,297.93
NOVA ALVORADA DO SUL,5006002,CAMPO GRANDE (AEROPORTO),SBCG,83612,122.98
NOVA ALVORADA DO SUL,5006002,PONTA PORA (AEROPORTO),SBPP,83703,192.98
NOVA ALVORADA DO SUL,5006002,URUBUPUNGA,SBUP,83617,285
NOVA ANDRADINA,5006200,CAMPO GRANDE (AEROPORTO),SBCG,83612,207.22
NOVA ANDRADINA,5006200,PRESIDENTE PRUDENTE,SBDN,83716,207.27
NOVA ANDRADINA,5006200,MARINGA,SBMG,83767,224.84
NOVO HORIZONTE DO SUL,5006259,PONTA PORA (AEROPORTO),SBPP,83703,196.99
NOVO HORIZONTE DO SUL,5006259,MARINGA,SBMG,83767,204.98
NOVO HORIZONTE DO SUL,5006259,TOLEDO,SBTD,-,231.08
PARANAÍBA,5006309,URUBUPUNGA,SBUP,83617,142.88
PARANAÍBA,5006309,ARACATUBA,SBAU,83672,205.05
PARANAÍBA,5006309,FRONTERA-MG,SBFT,-,246.69
PARANHOS,5006358,PONTA PORA (AEROPORTO),SBPP,83703,133.83
PARANHOS,5006358,TOLEDO,SBTD,-,199.58
PARANHOS,5006358,FOZ DO IGUACU (AEROPORTO),SBFI,83827,227.92
PEDRO GOMES,5006408,CAMPO GRANDE (AEROPORTO),SBCG,83612,286.78
PEDRO GOMES,5006408,BARRA DO GARCAS,SBBW,83359,308.59
PEDRO GOMES,5006408,CUIABA (AEROPORTO),SBCY,83362,315
PONTA PORÃ,5006606,PONTA PORA (AEROPORTO),SBPP,83703,40.5
PONTA PORÃ,5006606,CAMPO GRANDE (AEROPORTO),SBCG,83612,214.56
PONTA PORÃ,5006606,TOLEDO,SBTD,-,335.78
PORTO MURTINHO,5006903,PONTA PORA (AEROPORTO),SBPP,83703,225.75
PORTO MURTINHO,5006903,CORUMBA,SBCR,83552,250.68
PORTO MURTINHO,5006903,CAMPO GRANDE (AEROPORTO),SBCG,83612,293.07
RIBAS DO RIO PARDO,5007109,CAMPO GRANDE (AEROPORTO),SBCG,83612,118.02
RIBAS DO RIO PARDO,5007109,URUBUPUNGA,SBUP,83617,206.64
RIBAS DO RIO PARDO,5007109,PRESIDENTE PRUDENTE,SBDN,83716,281.04
RIO BRILHANTE,5007208,CAMPO GRANDE (AEROPORTO),SBCG,83612,135.77
RIO BRILHANTE,5007208,PONTA PORA (AEROPORTO),SBPP,83703,151.3
RIO BRILHANTE,5007208,URUBUPUNGA,SBUP,83617,325.63
RIO NEGRO,5007307,CAMPO GRANDE (AEROPORTO),SBCG,83612,117.69
RIO NEGRO,5007307,CORUMBA,SBCR,83552,288.48
RIO NEGRO,5007307,PONTA PORA (AEROPORTO),SBPP,83703,353.27
RIO VERDE DE MATO GROSSO,5007406,CAMPO GRANDE (AEROPORTO),SBCG,83612,188.22
RIO VERDE DE MATO GROSSO,5007406,CORUMBA,SBCR,83552,277.15
RIO VERDE DE MATO GROSSO,5007406,CUIABA (AEROPORTO),SBCY,83362,369.96
ROCHEDO,5007505,CAMPO GRANDE (AEROPORTO),SBCG,83612,57.34
ROCHEDO,5007505,PONTA PORA (AEROPORTO),SBPP,83703,306.31
ROCHEDO,5007505,CORUMBA,SBCR,83552,328.31
SANTA RITA DO PARDO,5007554,URUBUPUNGA,SBUP,83617,137.71
SANTA RITA DO PARDO,5007554,PRESIDENTE PRUDENTE,SBDN,83716,168.69
SANTA RITA DO PARDO,5007554,CAMPO GRANDE (AEROPORTO),SBCG,83612,218.33
SÃO GABRIEL DO OESTE,5007695,CAMPO GRANDE (AEROPORTO),SBCG,83612,145.87
SÃO GABRIEL DO OESTE,5007695,CORUMBA,SBCR,83552,335.44
SÃO GABRIEL DO OESTE,5007695,URUBUPUNGA,SBUP,83617,354.25
SETE QUEDAS,5007703,TOLEDO,SBTD,-,161.05
SETE QUEDAS,5007703,PONTA PORA (AEROPORTO),SBPP,83703,163.15
SETE QUEDAS,5007703,CASCAVEL-PR,SBCA,-,198.32
SELVÍRIA,5007802,URUBUPUNGA,SBUP,83617,61.99
SELVÍRIA,5007802,ARACATUBA,SBAU,83672,168.34
SELVÍRIA,5007802,PRESIDENTE PRUDENTE,SBDN,83716,214.86
SIDROLÂNDIA,5007901,CAMPO GRANDE (AEROPORTO),SBCG,83612,74.89
SIDROLÂNDIA,5007901,PONTA PORA (AEROPORTO),SBPP,83703,179.85
SIDROLÂNDIA,5007901,URUBUPUNGA,SBUP,83617,351.73
SONORA,5007935,CUIABA (AEROPORTO),SBCY,83362,285.29
SONORA,5007935,BARRA DO GARCAS,SBBW,83359,295.49
SONORA,5007935,CAMPO GRANDE (AEROPORTO),SBCG,83612,315.11
TACURU,5007950,PONTA PORA (AEROPORTO),SBPP,83703,142.16
TACURU,5007950,TOLEDO,SBTD,-,174
TACURU,5007950,CASCAVEL-PR,SBCA,-,212.99
TAQUARUSSU,5007976,MARINGA,SBMG,83767,170.16
TAQUARUSSU,5007976,PRESIDENTE PRUDENTE,SBDN,83716,212.77
TAQUARUSSU,5007976,TOLEDO,SBTD,-,225.2
TERENOS,5008008,CAMPO GRANDE (AEROPORTO),SBCG,83612,37.08
TERENOS,5008008,PONTA PORA (AEROPORTO),SBPP,83703,244.1
TERENOS,5008008,CORUMBA,SBCR,83552,320.17
TRÊS LAGOAS,5008305,URUBUPUNGA,SBUP,83617,78.07
TRÊS LAGOAS,5008305,ARACATUBA,SBAU,83672,200.66
TRÊS LAGOAS,5008305,PRESIDENTE PRUDENTE,SBDN,83716,210.01
VICENTINA,5008404,PONTA PORA (AEROPORTO),SBPP,83703,130.32
VICENTINA,5008404,CAMPO GRANDE (AEROPORTO),SBCG,83612,223.51
VICENTINA,5008404,TOLEDO,SBTD,-,257.09