AMAJARI,1400027,BOA VISTA (AEROPORTO),SBBV,82022,216.34
AMAJARI,1400027,BARCELOS,SWBC,82113,525.75
AMAJARI,1400027,SAO GABRIEL DA CACHOEIRA (AERO),SBUA,82107,664.36
ALTO ALEGRE,1400050,BOA VISTA (AEROPORTO),SBBV,82022,229.7
ALTO ALEGRE,1400050,BARCELOS,SWBC,82113,450.62
ALTO ALEGRE,1400050,SAO GABRIEL DA CACHOEIRA (AERO),SBUA,82107,591.07
BOA VISTA,1400100,BOA VISTA (AEROPORTO),SBBV,82022,30.02
BOA VISTA,1400100,BARCELOS,SWBC,82113,516.26
BOA VISTA,1400100,MANAUS (AEROPORTO EDUARDO GOMES),SBEG,82333,686.95
BONFIM,1400159,BOA VISTA (AEROPORTO),SBBV,82022,67.16
BONFIM,1400159,BARCELOS,SWBC,82113,522.16
BONFIM,1400159,ORIXIMINA (AEROPORTO TROMBETAS)-,SBTB,-,629.1
CANTÁ,1400175,BOA VISTA (AEROPORTO),SBBV,82022,65.93
CANTÁ,1400175,BARCELOS,SWBC,82113,447.53
CANTÁ,1400175,MANAUS (AEROPORTO EDUARDO GOMES),SBEG,82333,591.89
CARACARAÍ,1400209,BOA VISTA (AEROPORTO),SBBV,82022,223.87
CARACARAÍ,1400209,BARCELOS,SWBC,82113,271.01
CARACARAÍ,1400209,MANAUS (AEROPORTO EDUARDO GOMES),SBEG,82333,473.85
CAROEBE,1400233,BOA VISTA (AEROPORTO),SBBV,82022,263.08
CAROEBE,1400233,ORIXIMINA (AEROPORTO TROMBETAS)-,SBTB,-,423.18
CAROEBE,1400233,MANAUS (AEROPORTO EDUARDO GOMES),SBEG,82333,444.23
IRACEMA,1400282,BOA VISTA (AEROPORTO),SBBV,82022,207.6
IRACEMA,1400282,BARCELOS,SWBC,82113,355.34
IRACEMA,1400282,SAO GABRIEL DA CACHOEIRA (AERO),SBUA,82107,567.04
MUCAJAÍ,1400308,BOA VISTA (AEROPORTO),SBBV,82022,148.61
MUCAJAÍ,1400308,BARCELOS,SWBC,82113,400.54
MUCAJAÍ,1400308,SAO GABRIEL DA CACHOEIRA (AERO),SBUA,82107,628.27
NORMANDIA,1400407,BOA VISTA (AEROPORTO),SBBV,82022,134.32
NORMANDIA,1400407,BARCELOS,SWBC,82113,625.54
NORMANDIA,1400407,ORIXIMINA (AEROPORTO TROMBETAS)-,SBTB,-,723.02
PACARAIMA,1400456,BOA VISTA (AEROPORTO),SBBV,82022,147.44
PACARAIMA,1400456,BARCELOS,SWBC,82113,616.4
PACARAIMA,1400456,ORIXIMINA (AEROPORTO TROMBETAS)-,SBTB,-,800.03
RORAINÓPOLIS,1400472,BARCELOS,SWBC,82113,240.18
RORAINÓPOLIS,1400472,BOA VISTA (AEROPORTO),SBBV,82022,314.59
RORAINÓPOLIS,1400472,MANAUS (AEROPORTO EDUARDO GOMES),SBEG,82333,357.02
SÃO JOÃO DA BALIZA,1400506,BOA VISTA (AEROPORTO),SBBV,82022,263.98
SÃO JOÃO DA BALIZA,1400506,BARCELOS,SWBC,82113,385.81
SÃO JOÃO DA BALIZA,1400506,MANAUS (AEROPORTO EDUARDO GOMES),SBEG,82333,407
SÃO LUIZ,1400605,BOA VISTA (AEROPORTO),SBBV,82022,226.9
SÃO LUIZ,1400605,BARCELOS,SWBC,82113,370.48
SÃO LUIZ,1400605,MANAUS (AEROPORTO EDUARDO GOMES),SBEG,82333,434.36
UIRAMUTÃ,1400704,BOA VISTA (AEROPORTO),SBBV,82022,209.18
UIRAMUTÃ,1400704,BARCELOS,SWBC,82113,693.71
UIRAMUTÃ,1400704,ORIXIMINA (AEROPORTO TROMBETAS)-,SBTB,-,810.93